,user_id,author,affiliation
0,Re819VUAAAAJ,sandhya Babel,"Professor, Sirindhorn International Institute of Technology, Thammasat University"
1,97Zz_TIAAAAJ,Sombat Muengtaweepongsa,Thammasat University
2,u-vl_aIAAAAJ,Wutiphol Sintunavarat,"Department of Mathematics and Statistics, Faculty of Science and Technology, Thammasat …"
3,9bUei6wAAAAJ,Bunyarit Uyyanonvara,"Associated Professor, SIIT, Thammasat University"
4,UOeuXvQAAAAJ,Chanathip Namprempre,"Assistant Professor, Thammasat University"
5,82GqezQAAAAJ,Prof.Tritos Laosirihongthong,"Department of Industrial Engineering, Faculty of Engineering, Thammasat University …"
6,YMLTjlQAAAAJ,Kriengsak Panuwatwanich,"Associate Professor, Sirindhorn International Institute of Technology, Thammasat University"
7,PLcJne4AAAAJ,Sakun Boon-itt,"Professor of Operations Management, Thammasat Business School"
8,yGhz_1oAAAAJ,Juthathip Jongwanich,"Faculty of Economics, Thammasat University"
9,I2lBB5YAAAAJ,"Kritsadarat Wattanasuwan, DPhil (Oxon)","Thammasat Business School, Thammasat University, Bangkok Thailand"
10,debyzkIAAAAJ,Bundit Limmeechokchai,"Sirindhorn International Institute of Technology, THAMAMSAT University"
11,JGJNbjIAAAAJ,Ruth Banomyong,"Thammasat Business School, Thammasat University"
12,UfE8D-AAAAAJ,Archanun Kophaiboon,"Faculty of Economics, Thammasat University"
13,aVwwa_0AAAAJ,Nurak Grisdanurak,"Chemical Engineering Dept., Thammasat University"
14,91yGxx0AAAAJ,Paiboon Sreearunothai,Sirindhorn International Institute of Technology
15,HD7tStUAAAAJ,Chanatip Samart,Thammasat University
16,SMJ2150AAAAJ,Stanislav Makhanov,"Professor Sirindhorn International Institute of Technology, Thammasat University"
17,O4WHKcYAAAAJ,Prof. Dr. Chaosuan Kanchanomai,"Department of Mechanical Engineering, Thammasat University, Thailand"
18,QL5Hx5gAAAAJ,Kongkiat Kulkantrakorn,Thammasat University
19,I5F9jrQAAAAJ,Thanaruk Theeramunkong,Sirindhorn International Institute of Technology
20,p-WB_8kAAAAJ,Cattaleeya Pattamaprom,Thammasat University
21,KhTCPuEAAAAJ,Sanya Mitaim,"Associate Professor, Thammasat University"
22,n5NQxncAAAAJ,Thawatchai Onjun,Sirindhorn International Institute of Technology
23,SaeC_isAAAAJ,Siriwan Suebnukarn,Professor at Thammasat University
24,iaKJpjwAAAAJ,Peter Ractham,Thammasat Business School
25,R2R8ECAAAAAJ,Junya Pattaraarchachai,Thammasat University
26,uKVBN38AAAAJ,Piyanuch Kongtim,Thammasat University
27,tfqcJY0AAAAJ,Peerasak Paoprasert,Associate Professor at Thammasat University
28,QHoiqrEAAAAJ,Suraparb Keawsawasvong,Thammasat University
29,Xa3otrYAAAAJ,Kasidit Chanchio,Thammasat University
30,iB7D6X4AAAAJ,Preeti Ovartchaiyapong,Thammasat University
31,0nE6sE8AAAAJ,Assoc. Prof. Dr. Pakorn Opaprakasit,"Sirindhorn International Institute of Technology (SIIT), Thammasat University,Thailand"
32,0ObmHVgAAAAJ,Amin Eisazadeh (Assistant Professor (Dr.)),"Sirindhorn International Institute of Technology, Thammasat University"
33,SB62Tf4AAAAJ,Boonchoy Soontornworajit,"Department of Chemistry, Faculty of Science and Technology, Thammasat University"
34,M8a85U0AAAAJ,Professor Dr. Pusit Lertwattanaruk,"Faculty of Architecture and Planning, Thammasat University"
35,BDBDmcUAAAAJ,Yingyot Infahsaeng,"Lecturer at Department of Physics, Thammasat University"
36,ivPZuB0AAAAJ,Pruettha Nanakorn,"Professor, Sirindhorn International Institute of Technology, Thammasat University, Thailand"
37,qKEHgQsAAAAJ,Anya Khanthavit,"Distinguished Professor of Finance and Banking, Thammasat University"
38,gfGF_YoAAAAJ,Aussadavut Dumrongsiri,"Sirindhorn International Institute of Technology, Thammasat University"
39,96Dqe64AAAAJ,Bharat Dahiya,"College of Interdisciplinary Studies, Thammasat University, Bangkok, Thailand"
40,6dDRiEoAAAAJ,pornchai chunhachinda,Professor of Finance Thammasat University
41,wvWCuA0AAAAJ,Kasian Tejapira,"Professor of Political Science, Thammasat University"
42,HTwbrIkAAAAJ,Jirachai Buddhakulsomsiri,"Sirindhorn International Institute of Technology, Thammasat University"
43,M12Q8-MAAAAJ,Songyot Nakariyakul,"Associate Professor of Electrical and Computer Engineering, Thammasat University"
44,BWM1T2EAAAAJ,Pavida Pananond,"Thammasat Business School, Thammasat University, Bangkok, Thailand"
45,TopHIDwAAAAJ,Mongkut Piantanakulchai,"Sirindhorn International Institute of Technology, Thammasat University"
46,Ego6Y3IAAAAJ,Mathupayas Thongmak,Thammasat Business School
47,ijKtwqsAAAAJ,"Banlue Srisuchinwong, PhD","Sirindhorn International Institute of Technology, Thammasat University"
48,rzHSMQ8AAAAJ,Natthapon Nakpathomkun,Thammasat University
49,5IToUsoAAAAJ,Kittipat Malakit,Thammasat University
50,71ebhj8AAAAJ,Chayanin Angthong,"Department of Orthopaedics, Thammasat University"
51,BATHSXAAAAAJ,Nopadol Rompho,Thammasat University
52,Y3NQ8fkAAAAJ,Itthisek Nilkhamhang,Sirindhorn International Institute of Technology
53,Gx8EJKYAAAAJ,Dr. Khanin Nueangnoraj,"Sirindhorn International Institute of Technolgy, Thammasat University, Thailand"
54,-BiqpXEAAAAJ,Dr. Pholawat Tingpej,Thammasat University
55,80Kis_AAAAAJ,Vikanda Pornsakulvanich,Thammasat University
56,W8l_dqIAAAAJ,Dr.Somnuk Tangtermsirikul,"Professor, Sirindhorn International Institute of Technology, Thammasat University"
57,04YlgK8AAAAJ,Kriengkrai Techakanont,"Associate Professor, Faculty of Economics, Thammasat University"
58,ZFvvmbYAAAAJ,Phatthanakit Chobthamkit,Thammasat University
59,DrRm-zUAAAAJ,Siriluck Rotchankitumnuai,"Thammasat Business School, Thammasat University"
60,Y2rA2nMAAAAJ,supakorn phoocharoensil,"Language Institute, Thammasat University"
61,jkZpNuYAAAAJ,Manat Srivanit,"Assistant Professor of City Planning, Faculty of Architecture and Planning, Thammasat …"
62,Y9_i9IoAAAAJ,Prof.Dr. Orapan Poachanukoon,"Faculty of Medicine, Thammasat University"
63,8uY7ix4AAAAJ,Shu Han Hsu,"Sirindhorn International Institute of Technology (SIIT), Thammasat University, Thailand"
64,G03mmSIAAAAJ,Watit Pakdee,Thammasat University
65,4DZaRGYAAAAJ,Rathapon Asasutjarit,Thammasat University
66,ySezUucAAAAJ,Cholwich Nattee,"Sirindhorn International Institute of Technology, Thammasat University"
67,J8H8WbAAAAAJ,Aurathai Lertwannawit,"Associate Professor in Business Administration, Marketing Department, Thammasat …"
68,gf-vn2oAAAAJ,Asst.Prof.Dr. Kom Campiranon,"College of Innovation, Thammasat University"
69,GuALoboAAAAJ,Patcharee Kooncumchoo,"Asst.Professor of Physical Therapy, Thammasat University"
70,ytwnqaYAAAAJ,Sirima Mongkolsomlit,"Faculty of Public Health, Thammasat University"
71,FeSYQ9UAAAAJ,Jirapon Sunkpho,Thammasat University
72,Fxx0NBEAAAAJ,Sumet Kongkiatpaiboon,"Drug Discovery and Development Center, Thammasat University"
73,35ESlEcAAAAJ,Ratchata Peachavanish,Thammasat University
74,7FSes-sAAAAJ,Supenya Chittapun,Thammasat University
75,VWv6qfIAAAAJ,Somboon Kulvisaechana,Thammasat Business School
76,agRE3Q4AAAAJ,Natenapha Yabushita,Thammasat University
77,KbyVPr4AAAAJ,somsak vongpradubchai,"Lecture, Faculty of Engineering, Thammasat University (Rangsit Campus)"
78,fSuRF4gAAAAJ,Charturong Tantibundhit,"Associate Professor of Electrical and Computer Engineering, Thammasat University"
79,P6o3R6cAAAAJ,sudaporn Sudprasert,Thammasat University
80,XyYldawAAAAJ,Somchart Fugkeaw,"Sirindhorn Institute of Technology, Thammasat University"
81,SKd9C_QAAAAJ,Muthita Phanasathit,Thammasat University
